name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
113457,223.097,514.133,28378660,35176930,154846910,10214960,130182190,88959170,47586330,157027850,17891500,120449900,184154200,23789750,89824820,60298000,39981920,120703860,66941100,41887700,47455340,106750410,44631500,27098890,232697000,197998710,307858200,331346700,106289540,116351000,9851220,28834130,26953790,62895670,19497860,100117000,64811810,42624700,46751200,17131050,113288270,43172470,72573290,128572670,14506430,51674570,92713820,21846190,75573070,37903100,61245560,49260260,91695200,167134720,29449010,71392620,21371960,26981770,26194440,263521000,163155350,91434450
112206,223.096,1143.44,2442700,3517200,0,39415670,37098200,2382630,0,5065220,5245290,5331940,3915220,4577100,0,6516130,4256400,31486240,3799480,1808670,22212580,3516550,3360620,38157570,7108860,3757520,4748570,4959380,52596500,21668100,3334370,4265540,0,0,3385020,7448260,3535420,32552920,12654030,10287100,10713800,5367160,7139890,13072450,7307290,11288000,11567500,23900770,3788700,24252700,40849400,9399110,6916160,8742460,18376680,12723930,4135260,4277900,4155020,27042010,11317500,8167280
133691,223.115,730.631,10060090,0,8381090,16686290,0,0,0,23293600,0,0,5356280,6481630,6798200,12600790,0,6421810,17027970,0,22149010,19352740,62420600,4558390,5151070,6620180,6660420,0,20487380,0,161280970,5803350,3013360,8644460,6890110,156088610,0,2114220,4995700,2983050,9522540,0,3319200,0,3557270,5922820,0,4727170,5555530,15952060,4423050,4459160,4657560,0,12601900,0,5587740,4038460,4786000,3319400,3718390,0
83097,223.134,1149,2904440,4215500,0,5707900,4491330,3717710,3858920,5211430,4730340,6837030,17158800,1554930,6245080,0,9814810,4158290,9009640,12841600,3429850,3766430,18749100,2375960,4779260,10746400,20271900,15620300,4436440,5156580,6869000,6259660,3525600,6356620,8266040,11137200,1754710,1847440,4409570,4202490,6435820,6131410,2497560,4851840,4269590,0,0,6825640,4744770,5069560,4818700,6227290,2991740,6456070,3345490,3062900,2197670,2079600,3087930,6999010,4650200,3593420
134705,223.115,996.008,7803310,13782170,5419473,19599960,8684640,11249870,8679610,19760620,10695503,0,0,4740069,36889020,7184972,0,11059000,4255010,1003349,17708780,1734698,651701,6337620,8021460,0,8439738,10252340,13922640,0,10434330,9140540,9002240,10737090,0,878880,3808840,8612441,11522640,7585130,19904970,0,2487328,20884880,15357298,8867042,0,23507610,5180854,10244370,16767900,18367911,32365934,12571730,10037630,12421400,20360969,11948210,32689810,37712180,6085100,20490720
42076,223.097,474.8235,11015970,9335540,0,5983340,0,5985580,6627610,1707010,2817860,9407650,1955460,1365900,6525680,0,6989210,3653540,5176280,6644170,7077070,0,10859030,9773060,7613290,16928570,3530260,13565240,14002570,13608040,5192310,7627880,0,0,4969660,13899020,0,0,14580880,0,13123080,12826800,1385220,2894850,9342400,0,0,0,3211980,2440880,3742340,9933410,10635770,2453080,13911720,14918700,7200940,1191650,5141560,16750610,8869990,4986210
18976,223.113,488.806,0,0,30497200,5676720,7850710,3970910,0,5889960,10781860,0,10594800,9440920,21662860,8404160,4019510,18656600,6260890,9005910,11538190,3626430,3888610,5171010,3633400,6984620,0,9095750,2355340,18866300,7195460,3088830,7751880,12598950,15117510,6869430,10115980,6802020,0,5488810,3030110,0,3936000,5905800,13207550,11392320,0,20959270,11988290,6834220,3591900,19592350,10508840,4994010,0,8836070,2952960,6638550,17506630,3155320,0,0
126922,223.114,1004.4185,2695900,0,3028680,2556520,0,0,0,5091390,4438820,0,0,0,4556350,0,2056500,0,0,0,2248080,2623310,4712820,10389320,5219830,3234590,0,0,5044670,0,3401430,12360250,0,0,4095600,0,4910420,4351380,3134630,3067400,8721810,3773970,0,0,0,0,0,0,2719850,0,4102420,3736580,2418390,4486460,0,6251920,0,0,7969800,5058940,10077940,3584790
87121,223.192,297.913675,6800240,10373060,4240410,3879970,6715060,8705300,14924440,1979790,5795290,6322810,4828830,2854830,10142970,5791980,4151980,6941180,10067270,14167110,8204370,6182880,14907400,5412830,7390780,4402000,4180490,16398370,5418730,5102220,4609320,7725070,3415490,3944350,7572310,2725090,4236580,4028570,2488260,3406940,3114600,7457910,2398580,2503190,5892351,3271690,3346500,6407170,4943520,11235480,3106210,5022420,6090960,5920220,2130180,2208620,0,3176730,5560260,2716560,6509420,0
57007,223.133,1016.845,9412850,12480750,1182880,9222860,12127340,13918140,10010790,5456630,19559720,29665970,13959500,5725580,25516050,0,22423790,10030210,14336650,11188960,6869770,0,33420380,7726970,12144450,18153543,15699020,34556390,14539620,53474170,20150630,19420130,0,0,17996050,19492180,868852,1821461,16333900,18891800,14485370,16684150,10241260,21338670,26255410,0,0,14734690,9526600,12436770,14676500,17864420,13147140,2858590,22114460,25230790,13662540,5937239,6223650,19323420,9817700,11003360
