name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
100305,199.192,1246.9732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125285,199.169,594.1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61170,199.148,514.7006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60156,199.169,902.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97729,199.169,851.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25741,199.174,754.4607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94823,199.169,1000.1085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130389,199.169,634.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3022,199.169,1037.6885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122021,199.169,1029.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97390,199.169,1690.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117101,199.986,576.9923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74085,199.992,470.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115793,199.988,1477.1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99865,199.988,615.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134756,199.988,710.3065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99052,199.988,476.9195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100853,199.988,1731.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113916,199.988,309.6347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5668,200.015,828.3388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79915,200.097,838.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4848,200.096,1607.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94428,200.237,990.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48416,201.087,1238.0736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75573,201.108,1012.7189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139932,201.105,486.373,metAnnotation,C00082,99605,C00483,Tyramine,[M],M+CH3CN+Na,C8H11NO,0.591793281038376,C00483_1;C01183_1,grade4;grade4
87123,201.126,929.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29419,201.112,918.1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100667,201.112,1576.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102709,201.143,492.4565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64975,201.123,450.8678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104904,201.112,1721.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125108,201.139,578.6048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
